function_1,function_2,viability,condition,note
Marking incongruity,Benevolence induction,workable,"The speaker must be relaying a genuinely unreasonable arrangement that some third party or institution has imposed — an absurdly short deadline, a lopsided rota, a rule nobody would defend — while at the same time being the one who has to ask the addressee to absorb it, so that agreeing costs the addressee a real if modest amount of time, money or effort, and the absurdity belongs to the circumstance rather than to the speaker's own conduct.",
Marking incongruity,Smoothing,workable,"The turn must report a state of affairs that is at once objectively absurd or mismatched (a demand, coincidence or figure that plainly does not add up, so there is something for the laugher to flag as incongruous) and, in the same breath, socially delicate for the person speaking or the person listening eing praed, put on the spot, admitting a small failing, or delivering news the other may take badly  so that the same laugh could either point at the absurdity of the facts or take the sting out of the moment.","Both readings live in the same event as long as the incongruity lands on someone's face; the risk is that a purely impersonal absurdity leaves smoothing nothing to repair, so the awkwardness must attach to one of the two speakers, not to an absent third party."
Marking incongruity,Show sympathy,workable,"The person just before the laugh must have disclosed a small real mishap or self-exposed weakness that cost them something (time, money, dignity) AND whose cause lies in an objectively absurd mismatch outside them - an unreasonable rule, a self-defeating instruction, a wildly disproportionate demand - so that the listener's laugh can land either on the absurdity of the arrangement itself or on the teller's discomfort at having admitted the episode.","Both preconditions are independent and routinely co-occur (bureaucratic run-arounds, comically strict workplace policies), so a single everyday anecdote can carry a genuine cost to the teller and a flaggable absurdity at once; the only care needed is that the absurdity not be the teller's own fault, or the sympathy reading weakens into mockery."
Marking incongruity,Marking irony,hard,"The turn must land on a state of affairs the two speakers have just jointly established as absurd on its face \u2014 a real arrangement, rule or demand that costs one of them actual time, money or dignity and is ridiculous even when reported accurately \u2014 while that same state of affairs is also the exact inverse of a standard or expectation both parties have already treated as obvious in the conversation, so that a flat evaluative comment on it can be heard either as a straight (if pointed) report of something genuinely ridiculous or as the opposite of what the speaker believes.","Irony needs a say/mean mismatch anchored in the situation, but the more the content is literally, verifiably absurd, the more a literal-incongruity reading absorbs the turn; both readings only stay live if the shared background supplies an explicit contrary norm that the utterance could be inverting, and even then the incongruity reading tends to dominate."
Marking incongruity,Scare-quoting / invite enrichment,hard,"The situation must involve a concrete event the speaker has just lived through whose actual facts are absurdly out of proportion with the official, borrowed or euphemistic label that someone else has already attached to them \u2014 e.g. a two-minute 'consultation' that decided a large bill, or 'training' that consisted of watching a colleague once \u2014 so that the same laughing turn can either flag the absurdity of the arrangement itself or flag that the inherited label is being stretched and needs enriching by the hearer.","Scare-quoting needs a lexical hook (the re-used label) that must sit in the transcript, and once a conspicuously institutional or euphemistic term is present readers tend to pre-resolve the laughter as scare-quoting; the label therefore has to be bland enough to pass as a literal description while the underlying facts stay absurd, which is a narrow target."
Marking incongruity,Lexical uncertainty / editing phrase,hard,"The situation must confront the speaker with something whose own logic is genuinely off-kilter ule, demand, price, official label, or job title that plainly doesn't fit the thing it governs and at the same time leave the speaker no ready name for it, so that the term they land on is an approximate borrowing from someone else's mouth that may or may not actually apply, making the mismatch live both out in the world and in the speaker's own grip on the word.","Lexical uncertainty needs a visible say/mean wobble in the words, but the transcript must stay neutral for the incongruity reading; the only way to get both is a situation where the odd thing has no settled name, and even then listeners in testing defaulted to hearing the laugh as commentary on the absurdity rather than as self-repair."
Marking incongruity,Affiliation,workable,"The partner must, in the immediately preceding turn, do something that is at once genuinely warm and costly to them on the laugher's behalf (a spontaneous offer, gift, favour or gesture of support the laugher didn't ask for) and disproportionate or oddly out of scale with the small problem it addresses, so that the same act is simultaneously a kindness worth appreciating and an absurdity worth flagging.",
Softening / trouble-telling,Benevolence induction,workable,"The situation must put the speaker in a spot where the same small piece of bad news is at once awkward for the addressee to hear (it touches something the addressee did, owns, or was counting on) and costly for the speaker to admit, while the addressee still holds an open decision — whether to let it go, to agree, to do the speaker a small favour — that the speaker visibly needs to go their way, so that the laugh can be heard either as cushioning the intrusion or as angling for indulgence.",
Softening / trouble-telling,Smoothing,workable,"The moment must carry two distinct discomforts at once: the speaker has to deliver something that genuinely imposes a small cost on the hearer or exposes something unflattering about the speaker (an unwelcome answer, a mild criticism, an admission), while the encounter has independently been knocked off balance just beforehand 
s
something unexpected from the partner, an audience present, a compliment or a lull that leaves someone visibly on the spot 
s
so the laughter can attach either to the sting of what is being said or to the awkwardness already sitting in the room.","Both functions live in the same social-incongruity branch and only need a face-threat plus a pre-existing awkwardness, which everyday situations supply readily; the risk is that if the prior awkwardness is too strong it swamps the softening reading, so the preceding disruption should be mild and non-verbal-ish rather than a full conversational breakdown."
Softening / trouble-telling,Show sympathy,workable,"The partner must have just exposed a small, genuinely costly failing of their own (a botched job, an embarrassing admission) and the laughing speaker's reply must itself carry delicate content of its own — confirming the fault, refusing the reassurance being fished for, or owning a parallel weakness — so that the same laugh can be heard either as tending the partner's exposure or as cushioning the speaker's own awkward contribution.",
Softening / trouble-telling,Marking irony,hard,"Both parties must have just been confronted with a concrete, jointly visible outcome of the addressee's effort (or of the speaker's own predicament) whose badness is genuinely borderline - poor enough that a mildly negative assessment could be a real, face-threatening complaint the speaker needs to soften, yet poor enough in a conspicuous, almost comical way that the same assessment could equally be a reversal of what is obviously the case - with a small but real cost riding on it (wasted work, money, an evening spoilt) so that neither the hedged-criticism nor the say/mean-mismatch reading has nothing to bite on.","Irony needs the scene itself to supply the say/mean mismatch since the words must stay neutral, but the moment the outcome is unmistakably terrible the ironic reading dominates and the sincere-but-softened one dies; the severity has to be tuned to a narrow band where listeners cannot settle how bad things actually are."
Softening / trouble-telling,Scare-quoting / invite enrichment,hard,"The speaker must be delivering a genuinely delicate fact - a criticism of the addressee, an inconvenient refusal, or an embarrassing cost to themselves - about an event whose real severity is markedly worse than the bland, conventional label the community routinely uses for that kind of event (the 'chat' that was a formal warning, the 'tidy' that took two days, the 'small delay' that lost someone a contract), so that the same laughter can either take the sting out of an intrusive truth or flag that the mild standard label is under-describing what actually happened.","Scare-quoting needs a lexical hook, and here it can only come from the situation supplying a euphemism whose standard sense visibly undershoots the facts; if the mismatch is made obvious enough for enrichment to be invited, the transcript starts to give the game away, and if it is kept subtle the softening reading dominates."
Softening / trouble-telling,Lexical uncertainty / editing phrase,hard,"The situation must put the speaker in the position of naming, out loud and to the person affected, a real but small defect or awkward fact (a flaw in the addressee's work, an inconvenient refusal, an unflattering thing about the speaker himself) whose nearest available everyday label is also a poor fit etween case that overstates or misses the thing being described so that the same borderline word is at once too blunt socially and possibly wrong descriptively, with the cost to the addressee being mild embarrassment or wasted effort rather than serious damage.","Lexical uncertainty needs a trigger in the words (an approximate or borderline term the speaker might revise), and building that in without also revealing a repair pushes hard against the neutrality requirement; testing also shows the editing-phrase reading is rarely preferred, so the softening reading will tend to dominate unless the referent is genuinely unnameable."
Softening / trouble-telling,Affiliation,workable,"The partner must have just done something warm and costly for the laugher (a favour, a gift, an offer of help, a supportive gesture) in a way that leaves the laugher owing them something, while the laugher's turn is the moment they have to hand back something mildly unwelcome about that very thing - the help came too late, the gift duplicates one they have, the offer has to be declined, or accepting it means admitting a small ongoing trouble of their own that costs them a bit of face to name.",
Benevolence induction,Smoothing,workable,"The speaker must be in a moment that is already faintly uncomfortable for them \u2014 they have just exposed something about themselves (a shortfall, an odd preference, an unearned compliment, a lull the other person handled strangely) \u2014 and in that same breath be putting something to the addressee that needs the addressee's uptake, such as a small favour, a proposal, or an opinion the addressee could refuse or judge, so that the speaker's face is on the line both backwards (the discomfort just created) and forwards (the judgement about to be passed).","Both functions live on the same social-incongruity branch and share a precondition of face-threat, so the main design risk is the reverse: making the two readings distinguishable at all, which requires the turn to carry a real pending request the addressee must respond to (otherwise only smoothing is available) while the awkwardness be genuinely already present rather than merely anticipated (otherwise only benevolence induction is)."
Benevolence induction,Show sympathy,workable,"The person who laughs last must be simultaneously the recipient of a just-made confession that cost the other something real (a botched job, a missed deadline, an admitted weakness with visible consequences) and someone equally implicated in that same predicament \or worse, or dependent on the confessor's goodwill for a small favour \so that their laugh can plausibly be either covering their own imminent exposure or absolving the other's.",Both functions are same-branch and same-participant-compatible as long as the discomfort is mutual and mildly costly on both sides; the risk is that a strongly one-sided cost forces the sympathy reading.
Benevolence induction,Marking irony,hard,"The situation must put the speaker on the hook for a self-implicating claim or request whose literal content is at the edge of credibility - a real, mildly costly admission about their own effort, competence or circumstances that the addressee cannot independently verify, and that the shared context makes just as plausibly an overstatement of the opposite - so that the addressee's goodwill (a favour granted, a lapse forgiven, an opinion accepted) genuinely hangs on how the claim is taken.","Irony is an utterance-modifying function that normally needs a say/mean trigger; with the words held neutral the mismatch has to be carried entirely by mutually known background facts that make the literal claim borderline-implausible, and if those facts are made vivid enough to support irony they tend to kill the sincere-admission reading that benevolence induction requires."
Benevolence induction,Scare-quoting / invite enrichment,hard,"The speaker must be asking a favour of (or confessing something to) someone whose goodwill they need, where the thing at issue is one the situation has already established as bigger, messier or less innocent than the mild everyday cover term used for it - a ""quick look"" at a document that is really a weekend's work, ""borrowing"" a car for a fortnight, ""a chat"" with someone who is about to be told off - so the same laugh can either soften the imposition or flag that the modest label is not to be taken at face value.","Scare-quoting needs a phrase whose standard reading visibly undershoots what everyone knows is really involved, and building that shared knowledge into the scene without letting the words themselves betray the mismatch is delicate; in testing the softening/benevolence reading tends to dominate whenever the request is face-threatening, so the size gap must be very salient in the prior turns."
Benevolence induction,Lexical uncertainty / editing phrase,hard,"The speaker must be asking a small favour of, or confessing a minor shortfall to, someone whose good opinion has real stakes for them (a boss, landlord, examiner, new in-law), and the thing they have to name in doing so must be something with no settled name — an awkward living arrangement, an unofficial job title, a half-ended relationship, a diagnosis nobody has confirmed — so that landing on any label is simultaneously a self-exposing admission the hearer could judge and an approximation the speaker might be second-guessing.","Lexical uncertainty needs a trigger in the words (a groped-for or approximate term), and the only way to supply one while keeping the transcript neutral is to make the referent itself unnameable in the world of the scenario; even then, prior testing shows the editing-phrase reading loses out to the socially motivated one, so the benevolence reading will likely dominate."
Benevolence induction,Affiliation,workable,"The addressee must have just done something concretely kind or accommodating for the speaker (an offer, a concession, a favour already granted), and the speaker's closing turn must be the moment they take that kindness up while stretching it a little further — accepting the lift but needing a detour, taking the loaned notes but also missing the seminar — so that the same laugh can either warm up an imposition the speaker knows costs the other person something and slightly exposes their own neediness, or simply register gratitude and closeness for what has already been given.","Both preconditions coexist naturally in favour-granting exchanges; the risk is that if the extra ask is too large the benevolence reading swamps affiliation, so the imposition should be small and the prior kindness vivid."
Smoothing,Show sympathy,workable,"The turn just before must contain the partner's small, genuinely costly self-exposure (an admitted flub, a shabby result, a confessed weakness) that simultaneously puts the final speaker in an awkward spot of their own 	they it, caused it, benefited from it, or must now say something that risks sounding superior 	so the laugh can plausibly be either warm cover for the partner's exposure or cover for the speaker's own discomfort at being caught out alongside them.",
Smoothing,Marking irony,hard,"The speaker must have just been through something with a real, checkable stake in it - a performance, test, interview, first attempt at a task - whose outcome the other person cannot yet see, and must then make an immodestly positive claim about how they did, where the surrounding evidence is genuinely borderline: good enough that the claim could be literally true and merely boastful (so the laugh eases the self-praise), but shaky enough that it could equally be a flat reversal of a bad result the speaker is quietly conceding.","Irony needs the literal reading to be visibly false while smoothing needs it plausibly true, so the whole burden falls on keeping the outcome finely balanced and unverified; tip the evidence either way and one reading collapses."
Smoothing,Scare-quoting / invite enrichment,hard,"The situation must put the speaker in a mildly face-threatening spot — being praised, put on the spot, or confronted with a partner's unexpected reaction, so that whatever they say costs them a little poise — while the very action or state they are reporting is one whose ordinary, mild everyday label plainly understates what the context shows is actually involved (a 'chat' that is really a reprimand, a 'small favour' that is really a rescue), so the same laugh can be heard either as easing the speaker's own discomfort or as flagging that the mild label is not meant at face value.","Scare-quoting needs a lexical trigger, and here it has to be supplied entirely by the stakes of the situation (a euphemism recognisable only because the listener knows what really happened); such situationally-loaded understatement is uncommon, and where it coexists with speaker embarrassment the smoothing reading tends to dominate, so the scenario must make the gap between the mild label and the real action very sharp."
Smoothing,Lexical uncertainty / editing phrase,hard,"The speaker must be forced, in a socially delicate spot (answering a compliment, naming their own status, or handling a partner's unexpected reaction), to apply a label to something whose fit is genuinely borderline for them — e.g. calling themselves the 'manager' of a two-person outfit, or the person they live with their 'partner' — so that the same laugh could be easing the small embarrassment of claiming it, or flagging that the word chosen is only an approximation they might want to revise.","Lexical uncertainty needs a hearable trigger in the wording (an approximate or self-applied label the speaker might revise), and forcing that into an otherwise neutral transcript both strains naturalness and, per earlier rounds, still loses out to smoothing as the preferred reading; it only works if the borderline label is supplied by the situation itself (an odd job title, an unsettled relationship) rather than by any repair or hedge in the turn."
Smoothing,Affiliation,workable,"The partner must have just done something genuinely warm and directed at the laugher personally - praise, an unprompted favour, a gift, a hug, covering their share - which is welcome and worth appreciating but also puts the laugher mildly on the spot by leaving them exposed, indebted or obliged to accept credit they can't gracefully claim, so that the moment carries both a small face-cost to them and a real kindness from the partner at the same time.",
Show sympathy,Marking irony,hard,"The other person must have just confessed, in the laugher's presence, a small self-inflicted failure that genuinely cost them something (a botched drawing, a missed deadline, an embarrassing outfit) whose severity is still open to two honest framings - trivial-and-forgivable versus plainly bad - so that the laugher's evaluative response can be heard either as a warm normalising of the confessed mishap or as an appraisal whose polarity is obviously inverted by the shared facts.","Irony needs a say/mean gap the hearer can detect, but any mishap clear-cut enough to make an inverted appraisal audible tends to force the ironic reading and drown out the sympathetic one; the cost has to sit right on the boundary of trivial and serious, which is an unusual and fragile configuration."
Show sympathy,Scare-quoting / invite enrichment,hard,"The situation must involve one person having just confessed or displayed a genuine small failure that costs them face (a botched job, an unflattering appearance, an evening that went wrong), where that mishap has a conventional mild label attached to it that both parties have already used, so the second speaker's reply can naturally pick up that same understated label while everyone present knows the reality it names is considerably worse.","Scare-quoting needs a lexical hook in the reply, and the only configuration that puts one in the very turn that answers someone's embarrassment is a shared euphemism for the mishap; even then the responder's laugh is heavily biased toward the sympathy reading, so the euphemism must be conspicuously inadequate to the known facts for the enrichment reading to compete."
Show sympathy,Lexical uncertainty / editing phrase,hard,"One participant must have just exposed a small but genuinely costly failure of their own (a botched piece of work, a visible slip, an admission of incompetence that actually embarrassed or cost them something), and the other must be in the position of having to put a name to that failure using a descriptor that is itself borderline \u2014 the only word to hand being either harsher or vaguer than the facts warrant \u2014 so that a laugh at that point can be heard either as reassuring the confessor they are not being judged or as the speaker's own doubt about the label just used.","The sympathy reading needs the laugh pointed outward at the partner's cost while the editing-phrase reading needs it pointed inward at the laugher's own word choice, so the turn must carry a descriptor that is independently contestable without any repair or hedge showing in the transcript; in practice the salient mishap pulls listeners to sympathy and the uncertainty reading rarely surfaces."
Show sympathy,Affiliation,workable,"The partner's immediately preceding act must do two things at once - be a small self-exposing admission of incompetence or embarrassment that genuinely costs them face (a botched effort, an apology for falling short), while at the same time being a warm, freely given act of kindness directed at the laugher (a gift, a favour done for them, a supportive gesture), so that the laugher has both the partner's discomfort to soften and the partner's generosity to appreciate.","Both preconditions are routinely co-present in everyday gift-giving, favours and hospitality where the giver apologises for the quality of what they are offering; the only risk is letting the cost fall on the laugher rather than the partner, which would kill the sympathy reading."
Marking irony,Scare-quoting / invite enrichment,hard,"The situation must hand both speakers a shared, conventionally named activity or role - a 'meeting', a 'holiday', a 'repair', 'helping out' - which one of them has just undertaken at real cost in time, money or effort, and which in fact delivered a degraded, minimal or off-label version of what that name standardly promises, with both parties already knowing the actual facts, so that the speaker's use of the label can be heard either as flatly contrary to what happened (irony, masking a real verdict) or as a stretched, knowingly euphemistic application of the term that the hearer is invited to fill in (scare-quoting).","Both functions modify the utterance rather than express a stance, so the turn must carry a nameable expression whose fit is contestable, and the two readings differ only in degree - total mismatch versus partial stretch - a gradient that laughter alone resolves weakly; irony is also the stronger default, so the situation must make the euphemistic sense concretely enrichable (a specific unspoken action the label stands in for) or the scare-quote reading collapses into irony."
Marking irony,Lexical uncertainty / editing phrase,hard,"The speaker must be describing, to someone who already knows the real state of affairs, a thing whose actual nature badly overshoots or undershoots the only ready-made label for it \u2014 a windowless storage cupboard they have been assigned as an ""office"", a three-hour bus replacement counted as part of an ""express"" service lconconspicuous enough that calling it that is transparently too generous, yet no better word is at hand, so the same evaluative term is simultaneously an obvious overstatement worth flagging as not-meant-literally and a genuinely inadequate approximation the speaker might want to take back and reformulate.","Both functions are utterance-modifying rather than event-directed, so the neutral-transcript constraint bites twice: the turn must carry a label that is at once an overstatement (irony) and a poor fit the speaker could disown (lexical uncertainty), and in testing lexical uncertainty was never the preferred reading, so listeners will likely default to irony unless the situation makes the label's inadequacy salient (e.g. the speaker is visibly searching for the right term about an unfamiliar or newly encountered thing)."
Marking irony,Affiliation,hard,"The partner must have just done something for the speaker that is unmistakably well-meant and personally warm yet plainly too small to fix the real, already-incurred loss the speaker is sitting in (a missed deadline, a ruined item, a bill they now have to pay), so the gesture is simultaneously worth genuine appreciation and comically disproportionate to the damage.","Irony must get its say/mean gap from the visible inadequacy of the favour rather than from the wording, and the window is narrow: make the mismatch too glaring and the warm-thanks reading collapses, make the favour too adequate and there is nothing to be ironic about."
Scare-quoting / invite enrichment,Lexical uncertainty / editing phrase,hard,"The speaker must be reporting, to someone who will act on the report, a real event or arrangement that falls between categories f a colleague quietly pushed out rather than fired, money ""borrowed"" and never returned, a meeting that was really an interrogation f so that the one label available to name it is at once a knowing understatement of what actually happened and a genuinely imperfect fit the speaker could be caught out on, with the speaker on the hook for whichever way the addressee takes it.","Both functions are utterance-modifying and normally need a visible trigger (a euphemism for scare-quoting, a repair or hedge for lexical uncertainty), but the transcript must stay neutral, so the words can carry only the borderline label and no reformulation; the uncertainty reading then rests entirely on the laughter sounding hesitant/self-correcting, and prior testing shows that reading is rarely preferred, so expect a strong bias toward scare-quoting."
Scare-quoting / invite enrichment,Affiliation,hard,"The partner must have just done the speaker a real, slightly-out-of-bounds favour (covering a shift, quietly settling a debt, leaning on someone on their behalf) and must have described that favour with a mild euphemism of their own, so that when the speaker takes the favour up in the closing turn the same moment carries both an under-described deed whose real extent is left for the hearer to fill in and a genuine kindness received that warrants warmth back.","The two functions attach to different objects 
inalthe same turn 
am ainthe words versus the partner's deed 
am so the situation has to be engineered so that the benefactor's own euphemism is what the speaker echoes; without that re-used phrase there is no enrichment trigger, and with too heavy a one the scare-quote reading swamps the plain warmth reading."
Lexical uncertainty / editing phrase,Affiliation,hard,"The speaker must be mid-way through describing something for which no ready label exists (an odd symptom, a half-remembered name, a relationship that has no clean word for it) and must visibly land on an imperfect term at the exact moment the partner does something warm and unearned - hands them a candidate word, touches their arm, says they get it - so that the same laugh can either mark the speaker's own dissatisfaction with the term just produced or acknowledge the partner's kindness in helping them out of the gap.","Lexical uncertainty needs a repair or a settled-for term visible in the transcript, and any such trace tends to tip the reader towards that function before the audio arrives; meanwhile the partner's supportive act is socially louder, so the affiliation reading tends to win outright unless the groping for the word is the whole substance of the turn."
