function_1,function_2,viability,condition,note
Marking incongruity,Smoothing,workable,"A prior turn is both faintly absurd and socially awkward for the last speaker, who must answer while their own standing is at stake.",
Marking incongruity,Show sympathy,workable,"The other speaker admits a small awkward mishap whose circumstances are also absurdly mismatched, so the listener can flag the oddity or excuse them.",
Marking incongruity,Marking irony,workable,"The state of affairs must itself be absurd, so a remark about it could be either a straight report or an insincere overstatement.","Irony's say/mean mismatch is supplied by the absurd facts rather than by wording, so the transcript can stay neutral."
Marking incongruity,Scare-quoting / invite enrichment,hard,"The situation must be oddly mismatched with the standard label available for it, so naming it plainly both misdescribes it and sounds absurd.","Scare-quoting needs a wording trigger, so the mismatch must ride on an expression already in play, which risks tipping the reading either way."
Marking incongruity,Lexical uncertainty / editing phrase,hard,"The laugher describes their own situation using a borderline, approximate word choice that is both faintly absurd in itself and arguably imprecise.","Lexical uncertainty needs a wording trigger, so the turn must carry an approximate self-description doing double duty; testing shows this reading rarely wins."
Marking incongruity,Affiliation,workable,"The partner's just-completed act is genuinely warm or generous toward the laugher, while also being mildly disproportionate, odd, or overblown.",
Softening / trouble-telling,Benevolence induction,workable,"Two partners jointly answerable for something unfinished, where one's remark both flags the other's shortfall and needs that person's goodwill to go ahead.",
Softening / trouble-telling,Smoothing,workable,"The speaker must give a mildly unwelcome answer at a moment already socially awkward for both, with no one clearly at fault.",
Softening / trouble-telling,Show sympathy,workable,"The last speaker has just heard the partner admit a small failing, and shares that same failing, so both are exposed at once.",
Softening / trouble-telling,Marking irony,workable,"The addressee's effort visibly falls short in a way both can see, so a favourable-sounding assessment would be plainly contrary to fact.",The shared visible shortfall supplies the say/mean mismatch irony needs while keeping the criticism face-threatening enough to require softening.
Softening / trouble-telling,Scare-quoting / invite enrichment,hard,The speaker must comment on a flaw or awkward fact using a mild everyday term that the shared situation makes plainly an understatement.,"Scare-quoting normally needs a visible say/mean gap in the wording; here the understatement must be recoverable from shared context alone, which is an unusual configuration.', but achievable when both parties already know the situation far exceeds the mild term used."
Softening / trouble-telling,Lexical uncertainty / editing phrase,hard,The speaker must deliver a mildly unwelcome judgement about something whose accurate name is genuinely hard to pin down.,"Lexical uncertainty needs an audible wording trigger; with the transcript kept neutral it stays a weak, rarely-preferred reading, so the hard-to-name referent must carry it alone.)"
Softening / trouble-telling,Affiliation,workable,"The partner has just done something warm or generous, while the laugher's response carries something slightly awkward for them: a refusal, disagreement, or self-exposing admission.",
Benevolence induction,Smoothing,workable,"The speaker must be making a self-exposing admission or request that costs them face, at a moment already slightly awkward between the two.",
Benevolence induction,Show sympathy,workable,"Both speakers share the same small failing or awkward need, so the final speaker's turn simultaneously admits their own and answers the other's confession.",
Benevolence induction,Marking irony,hard,"The speaker states something mildly unflattering about themselves that the listener cannot verify, so it could be a sincere admission or its opposite.","Irony normally needs a say/mean mismatch in the words; here the only trigger is the listener's inability to check the facts, so the ironic reading rests entirely on the laughter's sound.}"
Benevolence induction,Scare-quoting / invite enrichment,hard,"The speaker asks for or concedes something whose real scale is uncertain: plausibly the small thing named, plausibly a larger imposition being downplayed.","Scare-quoting needs a lexical hook, so the situation must make an understated, vague description of the request independently natural rather than pointed."
Benevolence induction,Lexical uncertainty / editing phrase,hard,The speaker must be admitting something mildly unflattering about themselves whose true nature is genuinely hard to pin down precisely.,"Lexical uncertainty needs a wording trigger; it survives only if what the speaker is conceding is inherently hard to name, and even then it loses to the leniency-seeking reading."
Benevolence induction,Affiliation,workable,The speaker asks a small favour or admits a shortcoming just after the partner has done something warm or accommodating for them.,
Smoothing,Show sympathy,workable,"The partner has just exposed a small embarrassment that equally implicates the responder, whose own reply is therefore itself socially delicate.",Shared exposure lets one laugh cover the laugher's own discomfort and the partner's at once.
Smoothing,Marking irony,workable,The speaker must voice a flattering or bold claim about themselves that the situation leaves credibly true yet plausibly overblown.,Ambiguous evidence for the self-claim lets it read as immodest-but-sincere or as self-deprecating irony.
Smoothing,Scare-quoting / invite enrichment,hard,"The speaker commits to a delicate action whose everyday description could mean either less or more than it says, amid mild awkwardness.","Scare-quoting needs an independently stretchable expression in the turn, so the situation must supply a routine euphemistic commitment and social discomfort at once."
Smoothing,Lexical uncertainty / editing phrase,hard,"The speaker must characterise themselves in socially delicate terms whose accuracy is also genuinely approximate, so the choice is both awkward and imprecise.","Lexical uncertainty needs a visible repair or hedge in the wording, which a neutral transcript withholds, so smoothing will usually dominate."
Smoothing,Affiliation,workable,"The partner does something warm and generous toward the laugher that also puts them slightly on the spot, making the moment both touching and awkward.",
Show sympathy,Marking irony,hard,"One speaker admits a small self-deprecating flaw, and the other's brief evaluation of it is equally credible as sincere or as overstated.",Irony normally needs a say/mean cue in the words; here it must come entirely from shared knowledge making the evaluation's literal truth doubtful.
Show sympathy,Scare-quoting / invite enrichment,hard,"One speaker admits a minor self-inflicted failing whose result the other must name, and the obvious available label understates what actually happened.","Scare-quoting needs a re-interpretable expression in the reply, so the situation must hand the responder an understated label for the partner's confessed weakness while that label still reads as kind softening."
Show sympathy,Lexical uncertainty / editing phrase,impossible,The laugher would have to be soothing a partner's self-disclosed weakness while simultaneously flagging their own just-uttered word choice as ill-chosen.,"Sympathy attaches to the partner's exposed weakness, while lexical uncertainty needs a visible repair or mismatch in the laugher's own wording, which neutral transcripts must omit; the two point at different targets in one moment."
Show sympathy,Affiliation,workable,The partner's preceding act must both expose a small embarrassment of their own and do something warm or generous for the laugher.,
Marking irony,Scare-quoting / invite enrichment,hard,"The known facts must plainly clash with the mild, conventional description a speaker gives them, the mismatch resting on one stock phrase.","Both functions need a say/mean trigger in the wording; the transcript stays constant, so only the scope of the mismatch (whole claim vs. single expression) distinguishes them, which is a fine and fragile contrast."
Marking irony,Lexical uncertainty / editing phrase,impossible,"A speaker applies a borderline evaluative label to a situation that both contradicts it and strains it, making the word simultaneously ironic and imprecise.","Lexical uncertainty needs a visible repair or reformulation in the words, which the neutral-transcript requirement forbids; without it the turn simply reads as irony, and testing shows uncertainty is never preferred."
Marking irony,Affiliation,workable,"The partner has just done something for the laugher whose real benefit is ambiguous - plausibly a genuine kindness, plausibly useless or counterproductive.","Irony's trigger sits in the ambiguous value of the partner's act rather than in the wording, so a neutral appreciative turn supports both."
Scare-quoting / invite enrichment,Lexical uncertainty / editing phrase,hard,"The speaker must label something with a term that only approximately fits, so the mismatch reads as deliberate stretching or an unsure first attempt.","Both functions modify the wording, so one approximate term must carry both readings; lexical uncertainty rarely wins, needing overt reformulation cues the neutral transcript forbids."
Scare-quoting / invite enrichment,Affiliation,hard,"The partner has just done something kind, and the speaker replies naming their own next action with a stock phrase open to understatement.","Scare-quoting needs an elastic expression in the speaker's own words, while affiliation needs the speaker to be receiving the partner's warmth; combining both in one neutral turn is delicate and the phrase risks tipping the transcript."
Lexical uncertainty / editing phrase,Affiliation,impossible,The final speaker would have to be simultaneously repairing their own just-uttered wording and responding warmly to a supportive act from the partner.,"Editing-phrase laughter needs a visible reformulation in the words, which the neutral-transcript constraint forbids; affiliation instead needs the laugher reacting to the partner's gesture, not to their own lexical choice, so the two cannot share one moment."
